,word,freq,sentiment,Genre,Category
1,film,1000,,,
2,movie,983,,,
3,action,805,,,
4,max,749,,,
5,one,698,,,
6,mad,542,,,
7,road,396,,,
8,much,372,,,
9,best,340,,,
10,movies,335,,,
11,just,332,,,
12,fury,326,,,
13,like,323,,,
14,metropolis,318,,,
15,ever,309,,,
16,great,295,,,
17,time,295,,,
18,really,244,,,
19,story,243,,,
20,miller,234,,,
21,flynn,233,,,
22,films,224,,,
23,see,223,,,
24,langs,219,,,
25,character,215,,,
26,every,210,,,
27,can,203,,,
28,world,201,,,
29,george,198,,,
30,fun,185,,,
31,will,185,,,
32,made,184,,,
33,cinema,181,,,
34,good,181,,,
35,adventure,175,,,
36,still,174,,,
37,first,171,,,
38,plot,171,,,
39,imagery,165,,,
40,characters,163,,,
41,lang,159,,,
42,hardy,156,,,
43,classic,152,,,
44,masterpiece,152,,,
45,theron,152,,,
46,way,149,,,
47,charlize,147,,,
48,stunning,147,,,
49,even,145,,,
50,well,141,,,
51,chase,140,,,
52,screen,138,,,
53,seen,138,,,
54,tom,137,,,
55,spectacle,130,,,
56,real,128,,,
57,get,122,,,
58,although,121,,,
59,star,120,,,
60,visual,118,,,
61,makes,117,,,
62,furiosa,115,,,
63,many,115,,,
64,back,114,,,
65,watching,114,,,
66,effects,113,,,
67,fritz,112,,,
68,images,110,,,
69,cinematic,109,,,
70,dont,104,,,
71,everything,104,,,
72,hood,104,,,
73,influential,104,,,
74,make,104,,,
75,robin,104,,,
76,alike,103,,,
77,old,103,,,
78,know,102,,,
79,watch,102,,,
80,amazing,101,,,
81,rousing,101,,,
82,energy,100,,,
83,errol,100,,,
84,scenes,100,,,
85,visuals,100,,,
86,perfect,99,,,
87,shadows,99,,,
88,also,98,,,
89,original,95,,,
90,come,94,,,
91,yet,94,,,
92,among,93,,,
93,today,93,,,
94,quite,92,,,
95,little,91,,,
96,never,91,,,
97,put,91,,,
98,car,89,,,
99,though,89,,,
100,last,88,,,
101,imaginative,87,,,
102,two,87,,,
103,long,86,,,
104,years,86,,,
105,anything,85,,,
106,epic,85,,,
107,eternal,85,,,
108,absolutely,84,,,
109,golden,84,,,
110,archetypal,83,,,
111,design,83,,,
112,future,83,,,
113,hollywood,83,,,
114,truly,83,,,
115,spectacular,82,,,
116,thats,82,,,
117,high,81,,,
118,people,81,,,
119,without,81,,,
120,lost,80,,,
121,ive,78,,,
122,vision,78,,,
123,didnt,77,,,
124,say,77,,,
125,together,77,,,
126,role,75,,,
127,think,75,,,
128,family,74,,,
129,ride,74,,,
130,wanted,74,,,
131,hours,73,,,
132,modern,73,,,
133,right,73,,,
134,sequences,73,,,
135,already,72,,,
136,better,72,,,
137,far,72,,,
138,lot,72,,,
139,certainly,71,,,
140,enjoy,71,,,
141,full,71,,,
142,going,71,,,
143,now,71,,,
144,year,71,,,
145,given,70,,,
146,look,70,,,
147,millers,70,,,
148,video,70,,,
149,almost,68,,,
150,bad,68,,,
151,big,68,,,
