,bad_bigram,sentiment,standalone
78,a bad,,
96,a boring,mild bad,
197,a cheap,,
228,a creepy,,
229,a disappointment,,
235,a disgrace,,
240,a familiar,,
319,a forgettable,,
338,a formulaic,mild bad,
340,a headache,,
351,a hollow,,
368,a lack,,
384,a mess,,
428,a nasty,,
475,a no,,
476,a passable,,
479,a predictable,mild bad,
494,a shame,,
498,a shocking,,
501,a spooky,,
503,a stupid,,
541,a terrible,,
544,a waste,,
607,absolutely terrible,,
618,almost a,between,
625,an uninspired,,
630,an unoriginal,,
640,and boring,,
652,and creepy,,
661,and desperately,,
671,and didnt,,
676,and even,,
685,and excruciatingly,,
705,and inconsistent,mild bad,
717,and no,,
733,and nothing,,
739,and predictable,,
744,and silly,,
778,and stretched,mild bad,
786,and stupid,,
796,and tired,,
801,and uncomfortable,,
804,and unfunny,,
828,and unoriginal,,
829,and vulgar,,
837,and without,,
846,anywhere near,,
853,are no,,
883,are onedimensional,,
888,are stupid,,
903,arent there,,
916,as awful,,
917,as bad,,
918,as bored,,
920,as hell,,
936,as terrible,,
937,ashamed of,,
943,at all,,
948,at best,,
952,at least,,
959,attempt at,,
960,avoid like,,
977,awkward and,,
980,bad  ,,
996,bad and,,
1012,bad as,,
1022,bad but,between,
1031,bad film,,
1039,bad i,,
1046,bad it,,
1053,bad movie,,
1122,bad reviews,,
1140,batshit crazy,,
1149,be disappointed,,
1163,be warned,,
1188,best avoided,,
1190,better than,,
1193,biggest issue,,
1222,biggest problem,,
1267,boring and,,
1300,but doesnt,,
1308,but failed,,
1321,but fails,,
1322,but this,,
1398,but unfortunately,,
1407,cant believe,,
1438,cant stand,,
1453,certainly not,,
1462,cheap jump,,
1470,cheap laugh,,
1496,cheap thrills,,
1525,cheap tricks,,
1530,comedy but,,
1537,complete waste,,
1558,couldnt seem,,
1563,crazy and,,
1573,creeped out,,
1582,creepy and,,
1591,creepy atmosphere,,
1605,creepy scenes,,
1629,crude and,,
1646,crude jokes,,
1705,definitely not,,
1713,despite all,,
1726,did not,,
1729,didnt like,,
1742,didnt make,,
1763,didnt really,,
1764,didnt see,,
1814,disappointed in,,
1824,disrespectful to,,
1825,distracted by,,
1850,do not,,
1856,does not,,
1858,doesnt even,,
1885,doesnt have,,
1891,doesnt help,,
1907,doesnt make,,
1918,doesnt really,,
1923,dont even,,
1924,dont get,,
1925,dont go,,
1927,dont like,,
1933,dont think,,
1938,dont understand,,
1946,dont want,,
1997,dont waste,,
1999,dumb and,,
2012,embarrassing to,,
2019,even though,,
2038,excrement  dirt,,
2048,extremely disappointed,,
2050,failed attempt,,
2068,fails to,,
2069,fall short,,
2172,falls short,,
2186,familiar recipe,,
2187,far from,,
2201,few good,,
2258,few laughs,,
2283,film doesnt,,
2317,film down,,
2351,floundering star,,
2355,for cheap,,
2362,forgettable and,,
2366,formula doesnt,,
2385,formulaic and,,
2386,frustrating and,,
2390,frustrating because,,
2402,fuck you,,
2454,funny but,between,
2455,funny dirty,,
2466,funny or,,
2468,general mediocrity,,
2470,gets lost,,
2489,had expected,,
2526,halfbaked underdone,,
2618,has no,,
2639,has nothing,,
2677,hate this,,
2688,hate you,,
2702,hated this,,
2744,have no,,
2851,have not,,
2853,have nothing,,
2872,his floundering,,Individual
2906,his worst,,Individual
2909,horrible and,,
3014,horrible movie,,
3055,however it,,
3063,i cant,,
3066,i chuckled,,
3121,i cringed,,
3151,i didnt,,
,i dont,,
3166,i struggled,,
3180,i wouldnt,,
3188,ignore the,,
3218,im not,,
3259,in spite,,
3279,inability to,,
3286,incredibly predictable,,
3298,incredibly stupid,,
3306,instead of,,
3341,is awful,,
3381,is boring,,
3382,is horribly,,
3419,is merely,,
3424,is mostly,,
3453,is not,,
3455,is nothing,,
3467,is only,,
3518,is pedestrian,,
3544,is pointless,,
3574,is predictable,,
3588,is ridiculous,,
3601,is ruined,,
3616,is shit,,
3621,is terrible,,
3638,is unrealistic,,
3664,is wasted,,
3695,isnt a,,
3714,isnt any,,
3751,isnt anything,,
3756,isnt enough,,
3790,isnt very,,
3805,issue in,,
3817,it never,,
3857,it wasnt,,
3869,its just,,
3879,jokes are,,
3894,just an,,
3921,just awful,,
3980,just didnt,,
3983,just dont,,
3990,just not,,
4031,just wasnt,,
4062,lack of,,
4064,lacks enough,,
4095,laughed once,,
4134,left wondering,,
4141,less a,,
4217,less funny,,
4221,let down,,
4227,little to,,
4292,looks horrible,,
4304,low expectations,,
4315,many negative,,
4336,may not,,
4389,mediocre a,,
4397,mediocre film,,
4402,mediocre horror,,
4414,mediocre movie,,
4417,mediocrity in,,
4432,mess with,,
4549,miserable and,,
4574,moments but,,
4583,more galling,,
4670,more profanity,,
4691,most ridiculous,,
4717,movie doesnt,,
4770,movie sucks,,
4817,movie wasnt,,
4833,never a,,
4880,never fully,,
4905,never really,,
4927,never watch,,
4945,new low,,
4975,no apparent,,
4979,no idea,,
4987,no need,,
4992,no purpose,,
4996,no real,,
5015,no reason,,
5026,no sense,,
5040,no substance,,
5049,none of,,
5075,not a,,
5076,not amusing,,
5079,not enough,,
5080,not even,,
5111,not funny,,
5133,not go,,
5143,not good,,
5164,not great,,
5182,not in,,
5185,not laugh,,
5197,not much,,
5199,not really,,
5277,not so,,
5279,not sure,,
5323,not the,,
5330,not very,,
5352,nothing about,,
5353,nothing for,,
5375,nothing more,,
5405,nothing new,,
5434,nothing original,,
5463,nothing really,,
5496,nothing special,,
5509,nothing to,,
5533,nothing unexpected,,
5536,of crap,,
5553,of disappointing,,
5647,one dimensional,,
5654,only a,,
5695,or cant,,
5710,or even,,
5760,or this,,
5770,overly familiar,,
5849,painfully unfunny,,
5859,pedestrian i,,
5863,please dont,,
5892,pointless and,,
5937,poorly animated,,
5944,poorly written,,
5986,potty humor,,
6003,predictable a,,
6059,predictable and,,
6072,predictable it,,
6086,predictable movie,,
6119,predictable plot,,
6122,predictable the,,
6164,pretty bad,,
6190,problem is,,
6196,problem with,,
6200,rather watch,,
6278,really bad,,
6304,really didnt,,
6306,really wasnt,,
6383,ridiculous and,,
6443,rubbish is,,
6476,rude and,,
6519,ruined by,,
6522,ruined it,,
6523,sadly the,,
6531,short of,,
6538,should have,,
6558,so bland,,
6580,so disappointing,,
6613,so predictable,,
6620,some funny,between,
6659,some unnecessary,,
6677,somewhat predictable,,
6688,spooked by,,
6689,spooky atmosphere,,
6699,stay away,,
6740,stretched out,,
6741,studded cast,,
6746,stupid and,,
6769,stupid but,,
6775,stupid ending,,
6778,stupid gags,,
6785,stupid way,,
6795,supposed to,,
6804,tasteless as,,
6856,terrible and,,
6905,terrible but,,
6931,terrible movie,,
6966,than that,,
6973,that bad,,
7036,the abysmal,,
7038,the awkward,,
7039,the bad,,
7108,the bottom,,
7143,the cheap,,
7171,the issue,,
7248,the low,,
7256,the only,,
7302,the painful,,
7354,the problem,,
7366,the raunchiness,,
7488,the ugliest,,
7516,the worse,,
7543,the worst,,
7585,there arent,,
7615,there isnt,,
7622,theres not,,
7780,theres nothing,,
7811,they didnt,,
7941,they dont,,
7950,this awful,,
8074,this garbage,,
8080,this isnt,,
8096,this mess,,
8109,this rubbish,,
8159,this shit,,
8198,times but,,
8217,tired of,,
8286,to death,,
8335,to impress,,
8375,to no,,
8380,to satisfy,,
8392,too long,,
8418,too many,,
8433,too obnoxious,,
8543,trapped in,,
8585,trash it,,
8593,ugliest film,,
8596,unfortunately it,,
8605,unfortunately the,,
8636,unlike most,,
8640,very bad,,
8719,very creepy,,
8721,very disappointed,,
8738,very disjointed,,
8742,very predictable,,
8764,very weak,,
8770,violence profanity,,
8773,vulgar and,,
8811,walked out,,
8823,was bored,,
8833,was just,,
8875,was never,,
8905,was no,,
8914,was not,,
8968,was terrible,,
8984,wasnt a,,
8993,wasnt expecting,,
9023,wasnt funny,,
9026,wasnt the,,
9050,waste of,,
9052,waste your,,
9067,wasted opportunity,,
9105,watch if,,
9108,way too,,
9123,will never,,
9126,with no,,
9139,with nothing,,
9150,wonder why,,
9164,wont be,,
9178,worse a,,
9181,worse movie,,
9199,worse than,,
9200,worst animated,,
9201,worst film,,
9209,worst horror,,
9235,worst movie,,
9267,worst movies,,
9273,worst of,,
9281,would not,,
9283,you chuckle,,
9319,you dont,,
9368,zero sense,,
