,bad_bigram,V2,sentiment,genre,
1, story,806,,,
2,a  ,244,,,
3,a  micheli,10,,,
4,a  ratin,10,,,
5,a  th,20,,,
6,a b,803,,,
7,a bad,60,,,
8,a bar,30,,,
9,a basketball,10,,,
10,a beach,25,,,
11,a bear,10,,,
12,a beaut,15,,,
13,a beautiful,10,positive,,
14,a beloved,10,positive,,
15,a bet,50,,,
16,a better,43,positive,,
17,a big,55,,,
18,a bigger,10,,,
19,a bit,172,,,
20,a bold,10,positive,,
21,a boring,10,negative,,
22,a box,10,,,
23,a boy,10,,,
24,a bradley,15,,,
25,a brief,10,,,
26,a bright,10,,,
27,a brilliant,10,positive,,
28,a brother,10,,,
29,a bunch,15,negative,,
30,a by,14,,,
31,a c,1145,,,
32,a call,10,,,
33,a car,120,,,
34,a career,10,,,
35,a cast,10,,,
36,a certain,15,,,
37,a chance,24,,,
38,a character,25,,,
39,a charm,10,,,
40,a cheap,29,negative,,
41,a chef,40,,,
42,a child,35,,,
43,a childrens,10,,,
44,a class,15,,,
45,a classic,10,positive,,
46,a clean,10,,,
47,a clever,9,positive,,
48,a collection,10,,,
49,a combination,20,,,
50,a comeback,20,,,
51,a comedy,98,,,
52,a commercial,10,,,
53,a compelling,9,positive,,
54,a complete,50,positive,,
55,a completely,10,between,,
56,a consistent,10,between,,
57,a cool,9,positive,,
58,a cop,10,,,
59,a couple,140,,,
60,a creepy,24,negative,,
61,a crude,10,negative,,
62,a culinary,10,,,
63,a curse,10,negative,,
64,a cute,10,positive,,
65,a dad,19,,,
66,a dark,9,,,
67,a darn,10,,,
68,a dead,15,,,
69,a decent,93,between,,
70,a deep,15,,,
71,a detective,10,,,
72,a dick,15,,,
73,a diet,10,,,
74,a different,23,between,,
75,a difficult,10,,,
76,a direct,19,,,
77,a dirty,20,,,
78,a disappointment,10,negative,,
79,a disgrace,15,negative,,
80,a disgraced,10,negative,,
81,a dish,15,,,
82,a documentary,10,,,
83,a doll,35,,,
84,a drama,20,,,
85,a dream,19,between,,
86,a drug,35,,,
87,a ego,10,,,
88,a fairly,10,between,,
89,a fall,10,,,
90,a familiar,20,negative,,
91,a family,34,,,
92,a fan,49,,,
93,a fantastic,10,positive,,
94,a far,15,,,
95,a father,19,,,
