word,freq,validity,sentiment
ability,51,,
able,11,,
absolute,14,,
absolutely,22,,
acciãn,16,,
achievement,16,valid,positive
across,55,,
act,17,,
acting,50,,
action,14,,
actionadventure,35,,
actions,13,,
actor,25,,
actors,41,,
actual,12,,
actually,58,,
adam,23,,
add,11,,
addition,10,,
adrenaline,22,valid,positive
adroitly,50,valid,positive
adventure,175,valid,positive
aficionado,49,,
age,45,,
agendadriven,50,,
ages,39,,
ago,13,,
aiden,11,,
alike,103,,
allegories,50,,
allegory,52,,
almost,37,,
alone,10,,
along,108,,
already,25,,
also,84,,
although,22,,
always,30,,
amazing,20,valid,positive
american,19,,
among,93,,
amount,18,,
amusing,12,valid,positive
angles,51,,
animated,22,,
animation,13,,
another,65,,
antagonist,11,,
anticipates,50,,
anyone,21,,
anything,48,,
aokigahara,28,,
apocalyptic,41,valid,negative
apparently,10,,
appear,53,,
archetypal,83,valid,negative
architecture,52,,
arctic,13,,
arent,22,,
around,42,,
array,53,,
art,30,,
aside,12,,
asked,10,,
aspect,44,,
ass,21,,
astonishing,11,valid,positive
atlanta,10,,
atmosphere,16,,
attempt,14,,
attempts,10,,
attention,14,,
audience,45,,
audiences,12,,
australian,12,,
average,17,,
awards,37,,
aware,33,,
away,29,,
awe,59,,
awesome,14,valid,positive
awful,21,valid,negative
awkward,14,valid,negative
babel,50,,
back,68,,
background,13,,
backstory,10,,
bad,119,valid,negative
badass,23,valid,negative
banal,50,valid,negative
barely,19,,
based,10,,
basic,20,,
basically,11,,
battle,11,,
beach,11,,
bear,12,,
beautiful,14,valid,positive
beautifully,14,valid,positive
became,11,,
become,15,,
becomes,17,,
beginning,13,,
behind,10,,
believe,23,,
ben,33,,
benchmark,51,,
best,65,,
better,121,,
beyond,10,,
big,32,,
bigger,12,,
biggest,11,,
bigscreen,33,,
bit,44,,
bizarre,19,valid,negative
black,11,,
bland,15,,
blockbuster,21,valid,positive
blockbusters,13,,
blood,23,,
bluray,37,,
bored,13,valid,negative
boring,22,valid,negative
bottom,11,,
boy,50,,
boys,18,,
brad,26,,
bradley,90,,
brahms,15,,
bravery,34,,
breath,17,,
breathtaking,12,valid,positive
brief,10,,
brigitte,51,,
brilliant,68,valid,positive
bring,14,,
brings,18,,
