,bad_trigram,V2,,sentiment,genre,actors
1,this movie i,281,,,,
2,one of the,183,valid,between,,
3,this movie is,173,,,,
4,to be a,148,,,,
5,a lot of,142,,,,
6,this is a,135,,,,
7,the forest i,132,,,,
8,me of the,130,,,,
9,some of the,126,,,,
10,the movie i,122,,,,
11,of the movie,119,,,,
12,it was a,112,,,,
13,d mark wahlberg,111,,,,
14,daddys home is,111,,,,
15,robert de niro,110,,,,
16,this film i,108,,,,
17,in the movie,106,,,,
18,the story i,103,,,,
19,of the film,103,,,,
20,and mark wahlberg,103,,,,
21,the forest is,97,,,,
22,this movie was,96,,,,
23,norm of the,95,,,,
24,of the north,94,,,,
25,most of the,91,,,,
26,to see this,91,,,,
27,in this movie,87,,,,
28,the other guys,85,,,,
29,the film is,82,,,,
30,dirty grandpa is,80,,,,
31,in the end,80,,,,
32,will ferrell and,80,,,,
33,ride along  i,79,,,,
34,ride along  i,79,,,,
35,ride along  i,79,,,,
36,the movie is,79,,,,
37,in the film,79,,,,
38,the story is,78,,,,
39,ferrell and mark,75,,,,
40,along  is ,75,,,,
41,in the forest,72,,,,
42,it is a,71,,,,
43,at the end,69,,,,
44,a couple of,68,,,,
45,de niro a,67,,,,
46,see this movie,66,,,,
47,in this film,64,,,,
48,the movie was,63,,,,
49,there is a,63,,,,
50,is not a,63,,,,
51,the rest of,62,,,,
52,of the worst,61,,,,
53,bradley cooper i,60,,,,
54,here are so,60,,,,
55,but it is,60,,,,
56,any of the,60,,,,
57,rest of the,58,,,,
58,this film is,57,,,,
59,ferrell and wahlberg,57,,,,
60,but it was,56,,,,
61,in the trailer,56,,,,
62,this movie a,55,,,,
63,is one of,55,,,,
64,this was a,55,,,,
65,its not a,54,,,,
66,i thought i,53,,,,
67,in the first,52,,,,
68,there are some,52,,,,
69,a film that,52,,,,
70,of a c,52,,,,
71,the fact that,51,,,,
72,bradley cooper is,51,,,,
73,a horror movie,51,,,,
74,home is a,50,,,,
75,i have to,50,,,,
76,to see it,50,,,,
77,movie is a,50,,,,
78,looking for a,49,,,,
79,thought it was,48,,,,
80,the jokes are,47,,,,
81,and kevin hart,47,,,,
82,more than a,47,,,,
83,a few laughs,46,,,,
84,could have been,46,valid,between,,
85,of the same,46,,,,
86,one of those,45,,,,
87,at the movie,44,,,,
88,movie but i,44,,,,
89,de niro an,44,,,,
90,the forest a,44,,,,
91,at this movie,44,,,,
92,to make a,44,,,,
93,all of the,44,,,,
94,ice cube and,43,,,,
95,you want to,43,,,,
96,a movie that,43,,,,
97,it would be,43,,,,
98,the north is,43,,,,
99,this is not,43,,,,
100,thomas haden church,43,,,,
101,a bit of,43,,,,
102,over the top,43,,,,
103,to make it,42,,,,
104,laugh out loud,42,,,,
105,kevin hart i,42,,,,
106,is a movie,42,,,,
107,rd michelin star,42,,,,
108,the first one,42,,,,
109,burnt is a,41,,,,
110,the first film,41,,,,
111,the boy is,41,,,,
112,to be the,40,,,,
113,de niro i,40,,,,
114,that the movie,40,,,,
115,as well as,40,,,,
116,i thought it,40,,,,
117,many of the,40,,,,
118,jump scares a,40,,,,
119,de niro and,39,,,,
120,but the movie,39,valid,negative,,
121,better than the,39,valid,between,,
122,the film has,39,,,,
123,the worst movie,38,valid,negative,,
124,if you are,38,,,,
125,out of the,38,,,,
126,to have a,38,,,,
127,by the end,37,,,,
128,ive ever see,37,,,,
129,for a film,37,,,,
130,a waste of,37,valid,negative,,
131,of the jokes,37,,,,
132,would have been,36,,,,
133,part of the,36,,,,
134,there are a,36,,,,
135,i did not,36,,,,
136,the main character,36,,,,
137,all in all,36,,,,
138,more of a,36,,,,
139,her twin sister,35,,,,
140,if you want,35,,,,
141,is that i,35,,,,
142,and it was,35,,,,
143,here is no,35,,,,
144,as good as,35,,,,
145,cube and kevin,35,,,,
146,of the th,35,,,,
147,better than i,34,valid,between,,
148,his is the,34,,,,
149,of this movie,34,,,,
150,forest is a,33,,,,
151,a good job,32,valid,positive,,
152,use of the,32,,,,
153,have been a,32,,,,
154,that this movie,32,,,,
155,that it was,32,,,,
156,the whole time,32,,,,
157,the aokigahara forest,32,,,,
158,ive ever seen,32,,,,
159,to the forest,32,,,,
160,as the first,32,,,,
161,as in the,32,,,,
162,in order to,32,,,,
163,there is no,32,valid,negative,,
164,to see the,32,,,,
165,the chemistry between,32,,,,
166,at all  ,32,valid,negative,,
167,the end i,32,,,,
168,like this movie,32,,,,
169,waste of time,32,valid,negative,,
170,at all  ,32,,,,
171,movie but it,32,,,,
172,not a go,32,,,,
173,in terms of,32,,,,
174,it is i,32,,,,
175,and the film,32,,,,
176,go see this,32,,,,
177,mark wahlberg i,32,,,,
178,jump scares and,32,,,,
179,this one i,32,,,,
180,this is one,31,,,,
181,enough to make,31,,,,
182,all the way,31,,,,
183,of the time,31,,,,
184,the characters are,31,,,,
185,natalie dormer is,31,,,,
186,the film does,31,,,,
187,the movie the,31,,,,
188,end of the,31,,,,
189,the movie and,30,,,,
190,this is the,30,,,,
191,seems to be,30,,,,
192,of this film,30,,,,
193,i want to,30,,,,
194,have ever seen,30,,,,
195,third michelin star,30,,,,
196,the plot is,30,,,,
197,lot of the,29,,,,
198,a film about,29,,,,
199,if you like,29,,,,
200,i wanted to,29,,,,
201,if you have,28,,,,
202,the suicide forest,28,,,,
203,in the last,28,,,,
204,it is no,28,,,,
205,with the r,28,,,,
206,i had a,28,,,,
207,see it i,28,,,,
208,is not the,28,,,,
209,it but i,28,,,,
210,i have ever,28,,,,
211,movie was a,28,,,,
212,but if you,28,,,,
213,that it is,28,,,,
214,film but i,28,,,,
215,the film a,28,,,,
216,but this is,28,,,,
217,in the arctic,28,,,,
218,i have no,28,,,,
219,the ending was,28,,,,
220,natalie dormer a,28,,,,
221,of the year,28,,,,
222,up to the,28,,,,
223,to the movie,28,,,,
224,this movie but,28,,,,
225,none of the,28,valid,negative,,
226,one of my,28,,,,
227,out this movie,27,,,,
228,there were so,27,,,,
229,of a film,27,,,,
230,going to be,27,,,,
231,was pretty good,27,valid,positive,,
232,or this movie,27,,,,
233,as one of,27,,,,
234,the end of,27,,,,
235,movie that i,27,,,,
236,enjoyed this movie,27,valid,positive,,
237,movie with a,27,,,,
238,when it comes,27,,,,
239,is kind of,27,,,,
240,give it a,27,,,,
241,it made me,27,,,,
242,is the only,27,,,,
243,is that it,27,,,,
244,the most part,26,,,,
245,for the most,26,,,,
246,to get his,26,,,,
247,not a good,26,valid,negative,,
248,wanted to see,26,valid,negative,,
249,more of the,26,,,,
250,on this one,26,,,,
251,bradley cooper and,26,,,,
252,kevin hart and,26,,,,
253,boy is a,26,,,,
254,grandpa is a,25,,,,
255,cheap jump scare,24,valid,negative,,
256,it was pretty,24,,,,
257,to watch i,24,,,,
258,ever seen i,24,,,,
259,funny and i,24,,,,
260,but the story,24,,,,
261,about this movie,24,,,,
262,in the same,24,,,,
263,with the forest,24,,,,
264,would be a,24,,,,
265,me and the,24,,,,
266,and the movie,24,,,,
267,it will be,24,,,,
268,to go see,24,,,,
269,role of a,24,,,,
270,time and money,24,,,,
271,in ride along,24,,,,
272,it really is,24,,,,
273,see it for,24,,,,
274,is just a,24,,,,
275,the way i,24,,,,
276,a little more,24,,,,
277,the first place,24,,,,
278,it in the,24,,,,
279,there were some,24,,,,
280,the ending is,24,,,,
281,as bad as,24,,,,
282,trying to be,24,,,,
283,in daddys home,24,,,,
284,at all the,24,,,,
285,it is not,24,,,,
286,movie was the,24,,,,
287,mark wahlberg is,24,,,,
288,are in the,24,,,,
289,to go in,24,,,,
290,the top a,24,,,,
291,ride along  w,24,,,,
292,ice cube is,24,,,,
293,s ride along,24,,,,
294,is not really,24,,,,
295,in the kitchen,24,,,,
296,of bradley cooper,24,,,,
297,as much as,24,,,,
298,when i was,24,,,,
299,will make you,24,,,,
300,he is a,24,,,,
301,is trying to,24,,,,
302,here and there,24,,,,
303,this film an,24,,,,
304,jump scares that,24,,,,
305,of the forest,23,,,,
306,looks like a,23,,,,
307,to find the,23,,,,
308,nothing more than,23,valid,negative,,
309,may be a,23,,,,
310,that is a,23,,,,
311,i do not,23,,,,
312,this movie it,23,,,,
313,is a great,23,,,,
314,a good movie,23,valid,positive,,
315,movie is not,23,valid,between,,
316,along  is a,23,,,,
317,it was just,23,,,,
318,i thought the,23,,,,
319,for a movie,23,,,,
320,this movie and,23,,,,
321,niro and zac,23,,,,
322,a fan of,23,,,,
323,a polar bear,23,,,,
324,for a few,23,,,,
325,the movie that,23,,,,
326,i went to,23,,,,
327,her in a,23,,,,
328,the problem with,23,,,,
329,than i thought,23,,,,
330,to get the,23,,,,
331,of my life,23,,,,
332,had a great,23,,,,
333,the problem is,23,,,,
334,and ice cube,23,,,,
335,made me laugh,23,valid,positive,,
336,seen in a,23,,,,
337,is a good,22,,,,
338,the first movie,22,,,,
339,it was very,22,,,,
340,out of a,22,,,,
341,the kind of,22,,,,
342,went to see,22,,,,
343,de niro is,22,,,,
344,movie i have,22,,,,
345,will ferrell movie,22,,,,
346,and sienna miller,22,,,,
347,middle of the,22,,,,
348,should be a,22,,,,
349,want to see,21,,,,
350,was the best,21,valid,positive,,
351,not sure why,21,valid,negative,,
352,ive seen in,21,,,,
353,out some of,20,,,,
354,to do so,20,,,,
355,because of the,20,,,,
356,but its not,20,,,,
357,you are a,20,,,,
358,than the fore,20,,,,
359,is a very,20,,,,
360,not just a,20,,,,
361,to find her,20,,,,
362,in the story,20,,,,
363,is still a,20,,,,
364,off each other,20,,,,
365,were in the,20,,,,
366,as the movie,20,,,,
367,he end it,20,,,,
368,the role of,20,,,,
369,the movie do,20,,,,
370,movie but the,20,,,,
371,with a few,20,,,,
372,is in the,20,,,,
373,in the trailers,20,,,,
374,be able to,20,,,,
375,horror movie but,20,,,,
376,the first time,20,,,,
377,but i did,20,,,,
378,the bad guy,20,,,,
379,want to watch,20,,,,
380,and zac efron,20,,,,
381,but i was,20,,,,
382,go see it,20,,,,
383,it was i,20,,,,
384,towards the end,20,,,,
385,more than i,20,,,,
386,a lack of,20,valid,negative,,
387,wahlberg and ferrell,20,,,,
388,may be the,20,,,,
389,director tim story,20,,,,
390,this movie do,20,,,,
391,to try and,20,,,,
392,i would have,20,,,,
393,from the film,20,,,,
394,to this one,20,,,,
395,way through the,20,,,,
396,ferrel and mark,20,,,,
397,it may be,20,,,,
398,this film it,20,,,,
399,the screenplay by,20,,,,
400,with a b,20,,,,
401,game of thrones,20,,,,
402,back to the,20,,,,
403,s the other,20,,,,
404,and that is,20,,,,
405,wants to be,20,,,,
406,was in the,20,,,,
407,of the kitchen,20,,,,
408,zac efron is,20,,,,
409,i was in,20,,,,
410,the middle of,20,,,,
411,its not even,20,valid,negative,,
412,one of them,20,,,,
413,at the same,20,,,,
414,to be fun,20,,,,
415,the food i,20,,,,
416,the bottom of,20,,,,
417,is fine the,20,,,,
418,the same time,20,,,,
419,and will ferrel,20,,,,
420,of the best,20,,,,
421,to do i,20,,,,
422,of being a,20,,,,
423,other than that,20,,,,
424,s american sniper,20,,,,
425,up with a,20,,,,
426,william brent bell,20,,,,
427,along  is t,20,,,,
428,the best i,20,,,,
429,the plot was,20,,,,
430,cheap jump scares,20,valid,negative,,
431,will ferrel and,20,,,,
432,a drug dealer,20,,,,
433,and it is,20,,,,
434,on but the,20,,,,
435,aiden taylor kinney,20,,,,
436,of the most,20,,,,
437,it has a,20,,,,
438,more than the,20,,,,
439,it was the,20,,,,
440,in spite of,20,,,,
441,a will ferrel,20,,,,
442,me in the,20,,,,
443,be the best,20,,,,
444,in the theatre,20,,,,
445,it is so,20,,,,
446,in the woods,20,,,,
447,also available  ,19,,,,
448,it could have,19,,,,
449,im not sure,19,,,,
450,the story of,19,,,,
451,and i have,19,,,,
452,i liked it,19,,,,
453,an hour and,19,,,,
454,are a few,19,,,,
455,i really enjoyed,19,valid,positive,,
456,but this movie,19,,,,
457,very funny and,19,valid,positive,,
458,and i was,19,,,,
459,kind of movie,19,,,,
460,i dont think,19,,,,
461,i wish i,19,,,,
462,as a comedy,19,,,,
463,the cast is,19,,,,
464,to look at,19,,,,
465,feels like a,19,,,,
466,problem is that,19,valid,negative,,
467,not funny i,19,valid,negative,,
468,a few good,19,valid,between,,
469,of will ferrel,19,,,,
470,i think i,19,,,,
471,this one is,19,,,,
472,and a half,19,,,,
473,a great time,19,,,,
474,needs to be,19,,,,
475,it and i,19,,,,
476,the only reason,19,valid,negative,,
477,etc  also availabl,19,,,,
478,a long time,19,,,,
479,much better than,19,valid,between,,
480,for this movie,19,,,,
481,and in the,19,,,,
482,the ability to,19,,,,
483,this movie to,19,,,,
484,hart and ice,18,,,,
485,a very funny,18,valid,positive,,
486,is a film,18,,,,
487,a movie about,18,,,,
488,film about a,18,,,,
489,burnt is the,18,,,,
490,this movie looks,18,,,,
491,movie is the,18,,,,
492,i dont know,18,,,,
493,i enjoyed the,18,valid,positive,,
494,full content review,18,,,,
495,to say a,18,,,,
496,i have seen,18,,,,
497,kevin hart is,18,,,,
498,save your money,18,valid,negative,,
499,really enjoyed this,18,valid,positive,,
500,but it has,18,,,,
501,this was the,18,,,,
502,we walked out,18,,,,
503,and there were,17,,,,
504,than the original,17,,,,
505,the time the,17,,,,
506,on rotten tomatoes,17,,,,
507,worst movie i,17,valid,negative,,
508,the worst film,17,valid,negative,,
509,i cant believe,17,valid,negative,,
510,the top and,16,,,,
511,at some of,16,,,,
512,the trailer i,16,,,,
513,after the first,16,,,,
514,my  year ol,16,,,,
515,three michelin stars,16,,,,
516,throughout the film,16,,,,
517,me it is,16,,,,
518,the bad reviews,16,,,,
519,the lack of,16,valid,negative,,
520,all over the,16,,,,
521,in this one,16,,,,
522,was terrible i,16,valid,negative,,
523,with bradley cooper,16,,,,
524,but it does,16,,,,
525,the lead character,16,,,,
526,the story line,16,,,,
527,its a waste,16,valid,negative,,
528,to the point,16,,,,
529,zac efron a,16,,,,
530,bradley cooper fan,16,,,,
531,its still a,16,,,,
532,and the chemistry,16,,,,
533,it was fun,16,valid,positive,,
534,i feel like,16,,,,
535,niro and efron,16,,,,
536,the premise is,16,,,,
537,all the bad,16,,,,
538,and i did,16,,,,
539,looks like i,16,,,,
540,so much i,16,,,,
541,like will ferrel,16,,,,
542,the movie go,16,,,,
543,to work with,16,,,,
544,to a movie,16,,,,
545,out to be,16,,,,
546,much as a,16,,,,
547,up in the,16,,,,
548,to take a,16,,,,
549,the critics  ,16,,,,
550,i think this,16,,,,
551,character in the,16,,,,
552,the movie it,16,,,,
553,here in the,16,,,,
554,wish i had,16,,,,
555,the way through,16,,,,
556,a new low,16,,,,
557,for me to,16,,,,
558,the audience i,16,,,,
559,about the food,16,,,,
560,as far as,16,,,,
561,in the past,16,,,,
562,out of it,16,,,,
563,hundred foot journey,16,,,,
564,in a while,16,,,,
565,due to the,16,,,,
566,for the affection,16,,,,
567,out in the,16,,,,
568,does a good,16,,,,
569,this isnt a,16,,,,
570,of the way,16,,,,
571,but it wasnt,16,,,,
572,is that the,16,,,,
573,story of a,16,,,,
574,film its a,16,,,,
575,the amount of,16,,,,
576,for a comedy,16,,,,
577,to be funny,16,,,,
578,dont want to,16,,,,
579,as it is,16,,,,
580,the acting is,16,,,,
581,for a horror,16,,,,
582,to the story,16,,,,
583,the end it,16,,,,
584,a combination of,16,,,,
585,not all that,16,,,,
586,film is not,16,valid,negative,,
587,bit of a,16,,,,
588,the forest the,16,,,,
589,a little too,16,valid,between,,
590,so much a,16,,,,
591,a movie i,16,,,,
592,for her sister,16,,,,
593,a few of,16,,,,
594,part of a,16,,,,
595,bottom of the,16,valid,negative,,
596,but not a,16,,,,
597,to get back,16,,,,
598,the end the,16,,,,
599,and a couple,16,,,,
600,that is not,16,,,,
601,i have not,16,,,,
602,wait for it,16,,,,
603,of the better,16,,,,
604,is pretty much,16,,,,
605,the film in,16,,,,
606,at first i,16,,,,
607,thing about this,16,,,,
608,not so much,16,,,,
609,of the genre,16,,,,
610,the message is,16,,,,
611,would be the,16,,,,
612,and there are,16,,,,
613,of the scene,16,,,,
614,the last  minute,16,,,,
615,as well the,16,,,,
616,too much i,16,,,,
617,the hundred foot,16,,,,
618,about this film,16,,,,
619,if this is,16,,,,
620,r after the,16,,,,
621,for most of,16,,,,
622,the third act,16,,,,
623,james and ben,16,,,,
624,want to be,16,,,,
625,it was in,16,,,,
626,have been more,16,,,,
627,north is a,16,,,,
628,up for a,16,,,,
629,this kind of,16,,,,
630,me but i,16,,,,
631,and i had,16,,,,
632,in a movie,16,,,,
633,it had a,16,,,,
634,to watch the,16,,,,
635,this queen was,16,,,,
636,out the forest,16,,,,
637,this movie does,16,,,,
638,of the barrel,16,,,,
639,that doesnt mean,16,,,,
640,there is some,16,,,,
641,that can be,16,,,,
642,for those of,16,,,,
643,of it i,16,,,,
644,have to say,16,,,,
645,the end and,16,,,,
646,worthy of a,16,,,,
647,in burnt a,16,,,,
648,with will ferrell,16,,,,
649,cube and hart,16,,,,
650,on if you,16,,,,
651,than the forest,16,,,,
652,in that it,16,,,,
653,it a  ,16,,,,
654,i was a,16,,,,
655,a great job,16,,,,
656,r as i,16,,,,
657,to do this,16,,,,
658,to the film,16,,,,
659,and the story,16,,,,
660,that but i,16,,,,
661,use of its,16,,,,
662,the main characters,16,,,,
663,the first  minute,16,,,,
664,daddys home a,16,,,,
665,film that is,16,,,,
666,in the other,16,,,,
667,it takes a,16,,,,
668,with the movie,16,,,,
669,happens to be,16,,,,
670,or for the,16,,,,
671,but its a,16,,,,
672,the affection of,16,,,,
673,grandpa is no,16,,,,
674,if i want,16,,,,
675,see it but,16,,,,
676,to make you,16,,,,
677,the forest and,16,,,,
678,her sister a,16,,,,
679,and see it,16,,,,
680,that i can,16,,,,
681,it for the,16,,,,
682,this film and,16,,,,
683,in the middle,16,,,,
684,wahlberg is the,16,,,,
685,better than you,16,,,,
686,one in the,16,,,,
687,worst movies i,16,valid,negative,,
688,but the film,16,,,,
689,of the first,16,,,,
690,first  minutes ,16,,,,
691,quite a few,16,,,,
692,has a good,16,valid,positive,,
693,to the end,16,,,,
694,the movie be,16,,,,
695,the supporting cast,16,,,,
696,a movie with,16,,,,
697,the script is,16,,,,
698,worse than the,16,valid,negative,,
699,me on the,16,,,,
700,cause it was,16,,,,
701,thing that i,16,,,,
702,there were a,16,,,,
703,for a couple,16,,,,
704,as it could,16,,,,
705,i think the,16,,,,
706,in dirty grandpa,16,,,,
707,see this i,16,,,,
708,and the ending,16,,,,
709,linda cardellini is,16,,,,
710,this movie the,15,,,,
711,the movie as,15,,,,
712,this needs to,15,,,,
713,of ken jeong,15,,,,
714,take them to,15,,,,
715,was very funny,15,valid,positive,,
716,along  is th,15,,,,
717,the whole movie,15,,,,
718,a great movie,15,valid,positive,,
719,make it worth,15,valid,positive,,
720,it comes to,15,,,,
721,film is a,15,,,,
722,can be a,15,,,,
723,people go to,15,,,,
724,if you love,15,,,,
725,it doesnt help,15,,,,
726,cant help but,15,valid,negative,,
727,is going to,15,,,,
728,this is de,15,,,,
729,have a lot,15,,,,
730,that i have,15,,,,
731,movie about a,15,,,,
732,in my opinion,15,,,,
733,daddys home has,15,,,,
734,it was an,15,,,,
735,the end was,15,,,,
736,and will ferrell,15,,,,
737,movie of the,15,,,,
738,to be on,15,,,,
739,the help of,15,,,,
740,movie ive seen,15,,,,
741,ferrell is a,15,,,,
742,first one was,15,,,,
743,on the big,15,,,,
744,the story and,15,,,,
745,it was better,15,,,,
746,even though the,15,,,,
747,does have a,15,,,,
748,looking forward to,15,,,,
749,his third michelin,15,,,,
750,the worst movies,15,valid,negative,,
751,the big screen,15,,,,
752,was one of,15,,,,
753,along the way,15,,,,
754,have been an,15,,,,
755,chef adam jones,15,,,,
756,than i expected,15,,,,
757,of all the,15,,,,
758,i enjoyed it,15,valid,positive,,
759,i have never,15,valid,between,,
760,little more than,15,,,,
761,like this film,15,,,,
762,sienna miller and,15,,,,
763,mark wahlberg and,15,,,,
764,funny enough to,15,valid,between,,
765,if youre a,15,,,,
766,lauren cohan is,15,,,,
767,funny movie i,15,,,,
768,as funny as,15,,,,
769,i was hoping,15,valid,between,,
770,twist at the,15,,,,
771,out loud moments,15,,,,
772,to go into,15,,,,
773,even though i,15,,,,
774,be one of,15,,,,
775,the only thing,15,valid,negative,,
776,of will ferrell,14,,,,
777,movies ive ever,14,,,,
778,thing in this,14,,,,
779,absolutely flawless  ,14,,,,
780,review for parents,14,,,,
781,sister jess also,14,,,,
782,is a horror,14,,,,
783,i loved it,14,valid,positive,,
784,the best movie,14,valid,positive,,
785,has its moments,14,valid,between,,
786,it has its,14,,,,
787,are looking for,14,,,,
788,the devil inside,14,,,,
789,very funny movie,14,valid,positive,,
790,enjoy this movie,14,valid,positive,,
791,movies ive seen,14,,,,
792,i hadnt seen,14,,,,
793,a will ferrell,14,,,,
794,movie is funny,14,valid,positive,,
795,you are looking,14,,,,
796,content review for,14,,,,
797,i walked out,14,,,,
798,absolutely flawless  ,14,valid,positive,,
799,have to be,14,,,,
800,to say about,14,,,,
801,i saw this,13,,,,
802,in a very,13,,,,
803,i thought this,13,,,,
804,burnt is an,13,,,,
805,possibilities of its,13,,,,
806,the biological father,13,,,,
807,from being a,13,,,,
808,one would expect,13,,,,
809,a list of,13,,,,
810,by william brent,13,,,,
811,it was okay,12,valid,between,,
812,how bad it,12,valid,negative,,
813,excited to see,12,valid,positive,,
814,is well done,12,valid,positive,,
815,her with a,12,,,,
816,of adam jones,12,,,,
817,for natalie dormer,12,,,,
818,the directing by,12,,,,
819,is great a,12,,,,
820,even if the,12,,,,
821,to be but,12,,,,
822,of jump scares,12,,,,
823,ear and the,12,,,,
824,most of them,12,,,,
825,the forest was,12,,,,
826,see coming a,12,,,,
827,up with the,12,,,,
828,a better movie,12,valid,between,,
829,the only one,12,,,,
830,is funny and,12,,,,
831,say that i,12,,,,
832,at the critics,12,,,,
833,thomas hayden church,12,,,,
834,moments where the,12,,,,
835,made me think,12,,,,
836,of a movie,12,,,,
837,i was really,12,,,,
838,is such a,12,,,,
839,and i could,12,,,,
840,the whole the,12,,,,
841,film is that,12,,,,
842,the year i,12,,,,
843,into the woods,12,,,,
844,but i cant,12,,,,
845,taylor kinney who,12,,,,
846,the forest to,12,,,,
847,the performances were,12,,,,
848,halfway through the,12,,,,
849,some good moments,12,valid,between,,
850,there is more,12,,,,
851,he had a,12,,,,
852,great job i,12,,,,
853,the life of,12,,,,
854,product placement in,12,,,,
855,and of course,12,,,,
856,enjoyed the movie,12,valid,positive,,
857,be but it,12,,,,
858,the worst i,12,valid,negative,,
859,this movie in,12,,,,
860,there is one,12,,,,
861,a woman who,12,,,,
862,in the theater,12,,,,
863,on so many,12,,,,
864,a good thing,12,,,,
865,this one but,12,,,,
866,far better than,12,valid,between,,
867,of the characters,12,,,,
868,the audience a,12,,,,
869,and matt manfredi,12,,,,
870,as they come,12,,,,
871,i would d,12,,,,
872,who want a,12,,,,
873,on the planet,12,,,,
874,in the aokigahara,12,,,,
875,but that doesnt,12,valid,negative,,
876,director dan mazer,12,,,,
877,is good the,12,,,,
878,but also a,12,,,,
879,the best in,12,,,,
880,is one that,12,,,,
881,any kind of,12,,,,
882,me and i,12,,,,
883,money on this,12,,,,
