a completely,10,between,both
a consistent,10,between,positive
a decent,93,between,positive
a different,23,between,positive
a dream,19,between,positive
a fairly,10,between,positive
a generic,13,between,negative
a generous,10,between,positive
a half,44,between,negative
a heavy,10,between,negative
a huge,34,between,both
a joke,15,between,negative
a lazy,10,between,negative
a long,32,between,negative
a major,20,between,both
a massive,10,between,both
a mild,19,between,both
a mildly,9,between,both
a new,54,between,positive
a popular,10,between,positive
a relatively,10,between,both
a sneak,9,between,ignore
a somewhat,10,between,both
a tad,20,between,both
a thoroughly,14,between,both
a truly,9,between,positive
a typical,15,between,both
a very,104,between,both
a watch,10,between,positive
a well,10,between,positive
above average,9,between,positive
aiming to,10,between,both
all flat,20,between,negative
all out,10,between,both
almost a,35,between,both
almost better,9,between,positive
almost entirely,10,between,both
almost no,20,between,both
along but,15,between,both
also enjoyed,10,between,positive
although its,10,between,both
although there,15,between,both
an absolute,9,between,both
an empty,10,between,negative
an interesting,49,between,positive
an intriguing,15,between,positive
an odd,10,between,negative
and beautiful,13,between,positive
and believable,10,between,positive
and better,10,between,positive
and clever,9,between,positive
and delivers,10,between,positive
and despite,25,between,both
and did,30,between,both
and enjoy,25,between,positive
and fairly,20,between,positive
and funny,9,between,positive
and horrified,9,between,negative
and less,14,between,negative
and like,15,between,ignore
and never,20,between,both
and no,120,between,negative
and not,99,between,both
and nothing,20,between,both
and obvious,15,between,negative
and pretty,10,between,both
and tired,10,between,ignore
and unique,9,between,positive
and without,10,between,negative
appropriate for,10,between,both
are few,10,between,both
are fine,15,between,positive
as clearly,10,between,
as usual,10,between,
astonished and,8,between,
at good,10,between,
at greta,15,between,
at least,150,between,
at random,10,between,
at times,73,between,
atmosphere of,20,between,
attached to,15,between,
attempt at,35,between,
attention to,25,between,
attractive actors,10,between,
awesome but,10,between,
be anything,10,between,
be bothered,10,between,
be desired,10,between,
be entertained,10,between,
be fun,64,between,
be funny,54,between,
be great,10,between,
been better,20,between,
being astonished,7,between,
being funny,20,between,
best scene,9,between,
best thing,10,between,
best when,10,between,
better  ,30,between,
better and,17,between,
better but,15,between,
better film,10,between,
better if,10,between,
better in,10,between,
better job,10,between,
better just,10,between,
better movie,28,between,
better than,171,between,
better the,40,between,
better then,29,between,
better way,10,between,
better win,7,between,
both actors,15,between,
both leads,14,between,
bottom line,19,between,
bring in,10,between,
brings a,10,between,
brings everything,6,between,
but a,173,between,
but also,40,between,
but are,10,between,
but as,30,between,
but basically,10,between,
but because,10,between,
but besides,10,between,
but definitely,10,between,
but doesnt,15,between,
but dont,15,between,
but enough,10,between,
but even,15,between,
but everything,10,between,
but for,34,between,
but fun,24,between,
but funny,15,between,
but good,14,between,
but has,14,between,
but he,45,between,
but hes,10,between,
but his,25,between,
but just,20,between,
but most,20,between,
but mostly,10,between,
but none,10,between,
but nothing,15,between,
but overall,39,between,
but perhaps,10,between,
but really,15,between,
but remains,10,between,
but still,45,between,
but the,500,between,
but theres,25,between,
but theyre,15,between,
but ultimately,10,between,
but was,20,between,
but when,20,between,
but with,15,between,
but yes,10,between,
by far,8,between,
can recommend,10,between,
can say,15,between,
can see,19,between,
can watch,10,between,
cant deny,10,between,
cant help,24,between,
cant really,15,between,
cant save,14,between,
cant wait,9,between,
captures the,9,between,
cast was,10,between,
character has,15,between,
characters making,10,between,
checking my,10,between,
chemistry between,58,between,
chemistry they,10,between,
cinematography and,14,between,
cinematography is,10,between,
cinematography was,15,between,
clever and,14,between,
coherence and,10,between,
comedy filled,9,between,
competent but,9,between,
could be,45,between,
could have,144,between,
couldnt help,15,between,
couldnt say,10,between,
couldve been,24,between,
crazy a,26,between,
crazy but,10,between,
cruise control,9,between,
decent and,9,between,
decent horror,10,between,
decent job,10,between,
decent laughs,10,between,
decent movie,15,between,
decent performances,10,between,
definitely a,15,between,
definitely worth,15,between,
deliver the,15,between,
delivers the,8,between,
desperately unfunny,15,between,
despite a,14,between,
despite all,10,between,
despite being,10,between,
despite it,24,between,
despite some,10,between,
despite the,34,between,
dialogue and,30,between,
did enjoy,15,between,
did like,10,between,
did their,15,between,
didnt hate,9,between,
difficult to,14,between,
directing and,10,between,
directing by,15,between,
director cant,10,between,
disappoint either,9,between,
do but,18,between,
does everything,10,between,
does fall,10,between,
does have,43,between,
does however,10,between,
does make,10,between,
does put,10,between,
doesnt at,10,between,
doesnt mean,34,between,
doesnt really,30,between,
dont care,24,between,
dont come,9,between,
dont know,27,between,
dont listen,8,between,
dont mind,14,between,
dont need,16,between,
dont want,20,between,
dont waste,14,between,
doubt that,9,between,
each scene,10,between,
effects are,10,between,
effort in,15,between,
efforts to,19,between,
either of,10,between,
elements of,20,between,
enjoying it,10,between,
enjoying the,10,between,
enjoyment i,10,between,
enough  ,25,between,
enough about,10,between,
enough for,24,between,
enough guts,6,between,
enough in,9,between,
enough laughs,24,between,
enough of,15,between,
enough that,25,between,
enough to,113,between,
entertaining but,19,between,
entire cast,10,between,
entire time,15,between,
even funny,10,between,
even if,49,between,
even though,87,between,
even waste,10,between,
every scene,20,between,
every sense,8,between,
execution is,10,between,
expect a,24,between,
expect and,7,between,
expect anything,10,between,
expect it,10,between,
expect the,10,between,
expect to,15,between,
expected  ,15,between,
expected a,15,between,
expected the,10,between,
expecting a,20,between,
expecting much,9,between,
expecting to,10,between,
experience that,10,between,
fairly entertaining,9,between,
fall in,15,between,
fall into,10,between,
far better,20,between,
far less,10,between,
far more,19,between,
far too,20,between,
feel like,60,between,
feeling like,14,between,
feeling that,10,between,
feels in,10,between,
feels like,60,between,
felt like,15,between,
few good,29,between,
few laughs,78,between,
few scenes,10,between,
figure out,10,between,
filled with,52,between,
film could,10,between,
film did,10,between,
film director,10,between,
film does,43,between,
film got,14,between,
film revolves,10,between,
film without,10,between,
fine acting,10,between,
for good,10,between,
for laughs,15,between,
for nothing,15,between,
for redemption,10,between,
for worse,9,between,
formula and,10,between,
formula that,15,between,
found myself,9,between,
funnier  ,10,between,
funnier than,9,between,
funniest movie,13,between,
funniest part,15,between,
funniest parts,10,between,
funny and,126,between,
funny as,28,between,
funny at,24,between,
funny comedy,8,between,
funny emotional,15,between,
funny enough,34,between,
funny even,10,between,
funny film,10,between,
funny guy,15,between,
funny ideas,10,between,
funny movie,74,between,
funny or,15,between,
genius the,10,between,
get more,10,between,
get there,10,between,
get what,10,between,
gets some,10,between,
goes into,24,between,
good acting,20,between,
good actors,9,between,
good actress,10,between,
good although,10,between,
good amount,10,between,
good as,64,between,
good at,15,between,
good but,34,between,
good chuckles,9,between,
good either,10,between,
good end,15,between,
good enough,34,between,
good idea,10,between,
good in,24,between,
good job,40,between,
good laugh,34,between,
good laughs,24,between,
good looking,25,between,
good material,14,between,
good moments,25,between,
good movie,70,between,
good performance,10,between,
good plot,15,between,
good role,10,between,
good show,9,between,
good sign,9,between,
good some,9,between,
good story,15,between,
