"","movies","unigood","bigood","trigood","unibad","bibad","tribad","V8"
"1","star_wars",0.0439231586060431,0.0254399595273371,0.0021275416920605,0.045660778067381,0.02428359773064,0.00252645575932185,1
"2","revnant",0.112007270248779,0.0234366699955379,0.00120149460647751,0.0335113029648983,0.0221617831417462,0.00258783453702848,1
"3","panda",0.0526723470178156,0.0292526768959046,0.00252037301520625,0.0135553834237026,0.0140192074180373,0.00126018650760313,1
"4","bigshort",0.0405797101449275,0.0305826649917866,0.00229977310963281,0.0346618357487923,0.0190356556189004,0.0015589066045162,1
"5","brooklyn",0.089490828047317,0.0273712834090665,0.00236519578565115,0.0168009600548603,0.0151704891051558,0.00133788852521681,1
"6","room",0.0670371034235526,0.0201248622842453,0.00163626738534097,0.0118300770747446,0.014799853103195,0.00120313778333895,1
"7","spotlight",0.0435314923139709,0.023769559802913,0.0018772814183904,0.0140116990885594,0.0161622177703178,0.00139057882843734,1
"8","ipman",0.0204657727593507,0.0247847638925124,0.00239390642002176,0.0232886379675371,0.0273936864075137,0.00282916213275299,1
"9","years45",0.0276603918555513,0.0107499683824459,0.000935745477230193,0.0180560891279293,0.0156823068167447,0.00197546267415263,1
"10","carol",0.0684485006518905,0.0174793343286843,0.00142978979581598,0.0202086049543677,0.016678198171953,0.00193147042592686,1
"11","anomalisa",0.0436397400185701,0.0153871517283069,0.0010685451955042,0.0348189415041783,0.0181898115073913,0.00229539338293494,1
"12","ladyinvan",0.037037037037037,0.0236553784860558,0.00316990701606086,0.0129954515919428,0.0189243027888446,0.00190194420963652,1
"13","creed",0.0700239170874302,0.0365327292237987,0.00294629126604292,0.0249800690938081,0.0199117682127101,0.00168154184452205,1
"14","martian",0.0827328872876994,0.0373838852988691,0.00321192265690242,0.0302367472979928,0.0193356219709208,0.00202351127384853,1
"15","bridgespies",0.0565564968380861,0.0275024598622477,0.00218751434122164,0.0236248657678081,0.0190789315798315,0.00182037906717046,1
"16","sonofsaul",0.0204262877442274,0.0105393676379417,0.000378167149880247,0.0106571936056838,0.0150340979541228,0.00176478003277449,1
"17","peanut",0.0598531902879729,0.0336738260768245,0.00344103433443818,0.0208921513269339,0.0212451936147901,0.00164461199807707,1
"18","mustang",0.0215827338129496,0.0131974994211623,0.000809552722121028,0.00774764803541782,0.00972447325769854,0.0014167172637118,1
"19","hubble",0.0722001137009665,0.0257395313100269,0.000926497838171711,0.00966458214894827,0.0128697656550134,0.00277949351451513,1
"20","macbeth",0.0446682158533437,0.0165076480387703,0.00116455106556423,0.0126516911954557,0.0149174617598061,0.00221264702457203,1
"21","chiraq",0.0162517289073306,0.017825311942959,0.00116327378479435,0.0183264177040111,0.019817552689525,0.00299127544661404,1
"22","straightoutta",0.0499265785609398,0.0327002437435143,0.00297451682599816,0.0238953410759578,0.0190409537369983,0.00152425489093438,1
"23","thediary",0.0285456730769231,0.0170023541721161,0.00167358414781095,0.0141225961538462,0.014212224256692,0.00160664078189851,1
"24","sicario",0.0652611630936871,0.028651342076811,0.00201134760289394,0.0334004500769869,0.0201664081229728,0.00193629731920387,1
"25","thewalk",0.0812827432925861,0.0214949196874686,0.0013548951048951,0.0228607715510398,0.0163307736159083,0.00124562937062937,1
"26","hitman",0.0245261984392419,0.0218023255813953,0.00179935223319605,0.0577480490523969,0.0308586762075134,0.0037186612819385,1
"27","bone",0.0377297645920671,0.0270649934444653,0.00158250611422817,0.0241857465333763,0.0193856527439595,0.00302114803625378,1
"28","missionim",0.0597951344430218,0.0324320079574903,0.00263939293962389,0.035595390524968,0.0223542653718294,0.00181458264599142,1
"29","antman",0.0686274509803922,0.0429577464788732,0.00368777854497521,0.0331527347781218,0.0221076458752515,0.00193019898311468,1
"30","amy",0.0314891755958889,0.0154357380212241,0.000830878465140872,0.0139951891537284,0.0179011683996141,0.00158622252435985,1
"31","goodnight",0.0289341600236197,0.0194499316213341,0.00122514896697667,0.0369058163566578,0.0240085093450843,0.00345269254329788,1
"32","mississippi",0.0270557029177719,0.0228163992869875,0.00101966496722505,0.0249336870026525,0.0169340463458111,0.00262199563000728,1
"33","brilliantyount",0.0528249885163068,0.029158993247391,0.00210265924551639,0.0156178226917777,0.0128913443830571,0.00173160173160173,1
"34","patel",0.0216256524981357,0.02460407239819,0.00362669245647969,0.0126771066368382,0.0175339366515837,0.00435203094777563,1
"35","girlfriend",0.0170316301703163,0.0181750741839763,0.00230111768573307,0.0137875101378751,0.0129821958456973,0.0019723865877712,1
"36","finesthours",0.0298892988929889,0.0246979578744788,0.00219637191897828,0.0118081180811808,0.0196728322463381,0.00154559505409583,2
"37","hateful",0.0577661078569986,0.0245109944513984,0.0015182995045549,0.0439305190870531,0.0264539391335214,0.002933856937373,2
"38","sister",0.0333157059756742,0.0304189547726291,0.00313327449249779,0.0515600211528292,0.0325785154562843,0.00560458958517211,2
"39","joy",0.0328100470957614,0.0280154050645854,0.00254759684279963,0.0356357927786499,0.0254933369687468,0.00272956804585674,2
"40","gooddino",0.0903296019900497,0.0332954409477085,0.00216886724249458,0.0416666666666667,0.0276115831039847,0.00273962177999315,2
"41","hungergames",0.0400527641203981,0.0267175572519084,0.0019062243520161,0.0573210217052404,0.0280187369882026,0.00260782081491091,2
"42","danishgirl",0.0543876567020251,0.0196060674666063,0.00123265589936471,0.0131147540983607,0.0170704097803939,0.00151711495306426,2
"43","concussion",0.0225937641211026,0.0247679781358538,0.00198276210901145,0.0160415725259828,0.0199851961509993,0.00178043944482661,2
"44","spectre",0.0532618972581154,0.0274218050091536,0.0017983058066348,0.060510557831705,0.0302068320803957,0.0026501348729355,2
"45","trumbo",0.024390243902439,0.0271317829457364,0.00269859182572003,0.0211548033847685,0.0156375300721732,0.00186448162504293,2
"46","goosebum",0.0382764654418198,0.0346409727001606,0.00338424951980243,0.0371828521434821,0.0240880935994494,0.00234763254977286,2
"47","youth",0.0619596541786743,0.0219655202590356,0.00102571115973742,0.0144092219020173,0.0134768530672968,0.00191466083150985,2
"48","suffrergate",0.0264980427582054,0.0154820548909219,0.000804936946605849,0.0141523637458597,0.0159218859957776,0.00214649852428226,2
"49","manup",0.0316901408450704,0.0360491432266408,0.00219865494050698,0.0196177062374245,0.0155189136760427,0.00323331608898086,2
"50","truth",0.0180412371134021,0.0161987041036717,0.00105576350897399,0.014359351988218,0.0158387329013679,0.00163163451386889,2
"51","everest",0.0729011054675829,0.021337303064136,0.00138426353167757,0.0247983268598745,0.022019600545838,0.00236729125707178,2
"52","visit",0.0404963185164985,0.0315380631796996,0.00292877602909465,0.0559040087264794,0.0333764888658726,0.00387821441215281,2
