bad_bigram,V2,sentiment
a bizarre,,negative
a boring,10,negative
a bunch,15,negative
a chaotic,,negative
a cheap,29,negative
a crap,,negative
a crazy,,negative
a creepy,24,negative
a crude,10,negative
a curse,10,negative
a damn,,negative
a disappointment,10,negative
a disaster,,negative
a disgrace,15,negative
a disgraced,10,negative
a dud,,negative
a dull,,negative
a dumb,,negative
a familiar,20,negative
a forgettable,10,negative
a formulaic,8,negative
a fucking,,negative
a headache,10,negative
a hollow,15,negative
a lack,35,negative
a mindless,9,negative
a nasty,10,negative
a passable,15,negative
a pointless,,negative
a postapocalyptic,,negative
a predictable,28,negative
a rough,,negative
a shame,14,negative
a shit,,negative
a shocking,9,negative
a similar,10,negative
a soggy,9,negative
a spooky,15,negative
a stupid,23,negative
a sucker,10,negative
a terrible,26,negative
a threat,10,negative
a tired,15,negative
a tortured,,negative
a wacky,10,negative
a waste,62,negative
a wasted,15,negative
a weak,10,negative
a wrong,10,negative
absolutely nothing,,negative
absolutely terrible,9,negative
absurd and,,negative
action junkie,,negative
all bad,10,negative
all fucking,,negative
an idiot,10,negative
an insane,,negative
an intimidating,10,negative
an uninspired,8,negative
an unnecessary,9,negative
an unoriginal,9,negative
and awful,,negative
and barely,,negative
and bizarre,,negative
and cliched,10,negative
and cliches,15,negative
and creepy,9,negative
and desperately,15,negative
and didnt,15,negative
and dirty,,negative
and dull,,negative
and excruciatingly,10,negative
and exhausting,,negative
and exhilarating,,negative
and incomplete,10,negative
and inconsistent,10,negative
and insane,,negative
and insanity,,negative
and overused,10,negative
and pointless,,negative
and predictable,29,negative
and raunchy,14,negative
and ridiculous,10,negative
and stupid,20,negative
and uncomfortable,9,negative
and unfun,15,negative
and unfunny,9,negative
and unnecessary,,negative
and unoriginal,10,negative
and unsettling,10,negative
and vulgar,10,negative
anders horrible,10,negative
annoying and,10,negative
any sense,20,negative
anything but,15,negative
anywhere near,15,negative
are creepy,9,negative
are evil,15,negative
are idiots,10,negative
are lame,9,negative
are no,35,negative
are not,25,negative
are onedimensional,10,negative
are stale,10,negative
are stupid,15,negative
arent real,15,negative
arent really,10,negative
arent the,20,negative
arent there,10,negative
as absurd,,negative
as average,9,negative
as awful,24,negative
as bad,50,negative
as bored,30,negative
as creepy,10,negative
as formulaic,10,negative
as hell,10,negative
as horror,9,negative
as lame,14,negative
as low,10,negative
as mean,,negative
as terrible,34,negative
as vulgar,10,negative
as wrong,10,negative
ashamed of,15,negative
ass action,,negative
ass mad,,negative
avoid this,,negative
awful movie,,negative
awkward and,19,negative
bad acting,10,negative
bad ass,,negative
bad because,10,negative
bad film,19,negative
bad films,,negative
bad movie,25,negative
bad reviews,35,negative
barely a,,negative
barely any,,negative
barely have,,negative
batshit crazy,10,negative
be ashamed,17,negative
be disappointed,10,negative
be fooled,10,negative
be stupid,10,negative
be warned,15,negative
best avoided,9,negative
better with,,negative
biggest issue,10,negative
biggest problem,20,negative
bit disappointed,,negative
bizarre characters,,negative
bizarre scenes,,negative
blame the,15,negative
bland and,15,negative
bored out,10,negative
bored with,,negative
boring  ,,negative
boring and,23,negative
boring as,,negative
boring for,,negative
boring movie,10,negative
boring plot,,negative
bothered me,,negative
bottomless well,6,negative
but depressing,,negative
but failed,8,negative
but fails,15,negative
but fall,10,negative
but unfortunately,15,negative
cant believe,22,negative
cant even,19,negative
cant stand,10,negative
certainly not,20,negative
chaos and,,negative
characters arent,20,negative
cheap and,10,negative
cheap jump,40,negative
cheap jumps,10,negative
cheap laugh,25,negative
cheap laughs,20,negative
cheap thrills,10,negative
cheap tricks,11,negative
clearly not,10,negative
cliched predictable,10,negative
comedy but,45,negative
comedy not,8,negative
cooked up,10,negative
could not,25,negative
craziest film,,negative
crazy action,,negative
crazy and,11,negative
crazy as,,negative
crazy stunt,,negative
creeped out,15,negative
creepy and,23,negative
creepy atmosphere,20,negative
creepy doll,15,negative
creepy scenes,10,negative
creepy to,10,negative
creepy when,10,negative
crude jokes,10,negative
damn damn,6,negative
damn this,9,negative
decent but,,negative
definitely not,20,negative
did not,86,negative
didnt do,20,negative
didnt feel,10,negative
didnt find,10,negative
didnt have,9,negative
didnt laugh,6,negative
didnt like,18,negative
didnt make,10,negative
didnt really,14,negative
didnt see,19,negative
didnt think,20,negative
didnt want,15,negative
dirty and,,negative
disappointed by,,negative
disappointed in,9,negative
disappointed with,,negative
disappointing i,10,negative
disappointing no,9,negative
disaster of,,negative
disjointed i,10,negative
disrespectful to,10,negative
distracted by,8,negative
disturbing i,,negative
does little,9,negative
does not,50,negative
does nothing,10,negative
doesnt do,15,negative
doesnt even,15,negative
doesnt give,10,negative
doesnt have,27,negative
doesnt help,19,negative
doesnt just,10,negative
doesnt make,25,negative
doesnt seem,10,negative
doesnt take,15,negative
doesnt work,10,negative
dont even,20,negative
dont expect,25,negative
dont get,30,negative
dont go,25,negative
dont have,23,negative
dont like,27,negative
dont look,9,negative
dont really,25,negative
dont see,15,negative
dont take,19,negative
dont think,29,negative
dont understand,28,negative
dropping action,,negative
embarrassing to,10,negative
even worse,,negative
expected but,10,negative
extremely disappointed,9,negative
extremely secluded,6,negative
fail to,,negative
failed attempt,9,negative
failed to,25,negative
failing to,,negative
fails to,25,negative
fall apart,,negative
fall flat,15,negative
fall short,15,negative
falls short,10,negative
familiar  ,10,negative
familiar recipe,10,negative
fell asleep,9,negative
felt out,10,negative
film doesnt,15,negative
film down,10,negative
flat and,10,negative
flaws i,15,negative
flaws in,10,negative
floundering star,7,negative
for avoiding,,negative
formula doesnt,8,negative
formulaic and,15,negative
frustrating and,10,negative
frustrating because,10,negative
funny dirty,9,negative
funny outrageous,10,negative
general mediocrity,6,negative
generic and,15,negative
gets lost,15,negative
grossout comedy,6,negative
had no,20,negative
halfbaked underdone,9,negative
has nothing,15,negative
hasnt exactly,10,negative
hate everything,,negative
hate it,14,negative
hate this,9,negative
hate you,10,negative
hated this,9,negative
have never,24,negative
have not,39,negative
