V1,Sentiment
wonderfully bizarre,negative
with rotten,negative
with brutal,negative
weird movie,negative
weird but,negative
weird and,negative
was horrible,negative
wacky and,negative
very weak,negative
very simplistic,negative
very disappointing,negative
very basic,negative
useless and,negative
totally insane,negative
total waste,negative
total lack,negative
this overrated,negative
a bizarre,negative
the rotten,negative
the ridiculous,negative
the hype,negative
the horrific,negative
the crazy,negative
the chaotic,negative
the bizarre,negative
the absurd,negative
that fucking,negative
a chaotic,negative
than mediocre,negative
terrible dont,negative
spoiled all,negative
so overrated,negative
so damn,negative
so bored,negative
shame this,negative
a crap,negative
a crazy,negative
shame  ,negative
a damn,negative
screwed up,negative
really stupid,negative
pissed off,negative
packed but,negative
overuse of,negative
overrated i,negative
original but,negative
ordinary movie,negative
one crazy,negative
a disaster,negative
of ridiculous,negative
of mindless,negative
a dud,negative
of madness,negative
a dull,negative
a dumb,negative
of insanity,negative
nightmarish labyrinths,negative
nightmare of,negative
never gets,negative
never get,negative
neither was,negative
neither a,negative
much hype,negative
most visceral,negative
most useless,negative
most boring,negative
mindless action,negative
mediocre acting,negative
mediocre  ,negative
laughably banal,negative
lacks the,negative
lacking in,negative
a fucking,negative
its ridiculously,negative
its mad,negative
its insane,negative
its crazy,negative
it lacks,negative
it lacked,negative
it falls,negative
it failed,negative
it barely,negative
isnt much,negative
isnt for,negative
isnt all,negative
is strangely,negative
is sadly,negative
is overrated,negative
is horrible,negative
insanity that,negative
insane set,negative
insane and,negative
insane action,negative
huge disappointment,negative
horrifically gorgeous,negative
horrible just,negative
heavy handed,negative
hate everything,negative
for avoiding,negative
fall apart,negative
failing to,negative
fail to,negative
even worse,negative
dropping action,negative
disturbing i,negative
disaster of,negative
disappointed with,negative
disappointed by,negative
dirty and,negative
decent but,negative
crazy stunt,negative
crazy as,negative
crazy action,negative
craziest film,negative
chaos and,negative
but depressing,negative
bothered me,negative
boring plot,negative
boring for,negative
boring as,negative
boring  ,negative
bored with,negative
bizarre scenes,negative
bizarre characters,negative
bit disappointed,negative
better with,negative
barely have,negative
barely any,negative
barely a,negative
bad films,negative
bad ass,negative
awful movie,negative
avoid this,negative
ass mad,negative
ass action,negative
as mean,negative
as absurd,negative
and unnecessary,negative
and pointless,negative
and insanity,negative
and insane,negative
and exhilarating,negative
and exhausting,negative
and dull,negative
a pointless,negative
and dirty,negative
and bizarre,negative
and barely,negative
a postapocalyptic,negative
and awful,negative
an insane,negative
all fucking,negative
action junkie,negative
absurd and,negative
absolutely nothing,negative
a tortured,negative
a shit,negative
a rough,negative
