word,freq,validity,sentiment
weird,29,valid,negative
unfunny,32,valid,negative
terrible,33,valid,negative
stupid,33,valid,negative
ridiculous,10,valid,negative
predictable,57,valid,negative
overrated,14,valid,negative
nightmarish,52,valid,negative
nightmare,50,valid,negative
mediocre,16,valid,negative
lame,12,valid,negative
lacks,11,valid,negative
hype,20,valid,negative
horrible,21,valid,negative
fucking,20,valid,negative
exhilarating,26,valid,negative
embarrassingly,49,valid,negative
dumb,17,valid,negative
dull,10,valid,negative
disappointing,11,valid,negative
disappointed,10,valid,negative
damn,10,valid,negative
crude,15,valid,negative
cliched,14,valid,negative
chaotic,11,valid,negative
boring,22,valid,negative
bored,13,valid,negative
bizarre,19,valid,negative
banal,50,valid,negative
badass,23,valid,negative
bad,119,valid,negative
awkward,14,valid,negative
awful,21,valid,negative
archetypal,83,valid,negative
apocalyptic,41,valid,negative
