word,freq,validity,sentiment
wonderfully,11,valid,positive
swashbuckling,67,valid,positive
stunning,147,valid,positive
simple,32,valid,positive
perfection,12,valid,positive
achievement,16,valid,positive
masterpiece,152,valid,positive
marvellous,49,valid,positive
inspiration,54,valid,positive
incredible,38,valid,positive
hilarious,42,valid,positive
gorgeous,16,valid,positive
glorious,67,valid,positive
genuinely,11,valid,positive
funniest,10,valid,positive
fantastic,12,valid,positive
excellent,10,valid,positive
decent,38,valid,positive
cool,39,valid,positive
adrenaline,22,valid,positive
adroitly,50,valid,positive
adventure,175,valid,positive
charm,37,valid,positive
brilliant,68,valid,positive
breathtaking,12,valid,positive
blockbuster,21,valid,positive
beautifully,14,valid,positive
beautiful,14,valid,positive
awesome,14,valid,positive
astonishing,11,valid,positive
amusing,12,valid,positive
amazing,20,valid,positive
